,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
1556,1556,https://www.blablacar.it/passaggio-milano-livorno-715552204,2017-01-10,08:00:00,Milano,45.4856799,9.2037979,"Milano Centrale, Milano, MI",Livorno,43.548473,10.3105674,"Livorno, LI",17.5,319,1,3,715552204-milano-livorno,"[Milano, Livorno, Piombino]",auto,online
1557,1557,https://www.blablacar.it/passaggio-milano-chiasso-718283384,2017-01-10,08:10:00,Milano,45.4299522,9.1766626,"Piazza Abbiategrasso, Milano, MI",Chiasso,45.835688,9.0268397,"Corso San Gottardo, Chiasso, Svizzera",4.0,66,3,3,718283384-milano-chiasso,"[Milano, Chiasso]",manual,online
1558,1558,https://www.blablacar.it/passaggio-milano-bologna-718005359,2017-01-10,08:30:00,Milano,45.465423584,9.18592453,"Milano, MI, Italia",Bologna,44.494888306,11.342616081,"Bologna, BO, Italia",13.0,216,2,2,718005359-milano-bologna,"[Milano, Bologna, Campobasso]",manual,online
1559,1559,https://www.blablacar.it/passaggio-milano-bologna-718627974,2017-01-10,08:50:00,Milano,45.4856799,9.2037979,"Milano Centrale, Milano, MI",Bologna,44.4949851,11.3428187,"Bologna, BO",15.0,216,4,4,718627974-milano-bologna,"[Milano, Bologna, Grottaminarda]",manual,online
1560,1560,https://www.blablacar.it/passaggio-milano-sansepolcro-716686769,2017-01-10,09:00:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Sansepolcro,43.5726206,12.1382607,"Sansepolcro, AR, Italia",24.0,387,1,3,716686769-milano-sansepolcro,"[Milano, Sansepolcro]",auto,online
1561,1561,https://www.blablacar.it/passaggio-milano-rovereto-716046749,2017-01-10,09:00:12,Milano,45.437728882,9.168557167,"Famagosta M2, Milano, MI, Italia",Rovereto,45.890960693,11.040140152,Rovereto,14.0,215,2,3,716046749-milano-rovereto,"[Milano, Rovereto, Trento]",manual,online
1562,1562,https://www.blablacar.it/passaggio-milano-roma-714893224,2017-01-10,09:00:15,Milano,45.484579,9.204914,"Stazione Centrale, Milan",Roma,41.851808,12.5667449,"00174 Cinecitta RM, Italia",37.0,584,1,3,714893224-milano-roma,"[Milano, Roma]",manual,online
1563,1563,https://www.blablacar.it/passaggio-milano-pesaro-718695054,2017-01-10,09:00:38,Milano,45.4654219,9.1859243,"Milano, Italia",Pesaro,43.9124756,12.9155494,"Pesaro PU, Italia",23.0,364,3,3,718695054-milano-pesaro,"[Milano, Pesaro]",auto,online
1564,1564,https://www.blablacar.it/passaggio-milano-aosta-715091499,2017-01-10,09:30:25,Milano,45.4973525,9.1855444,"Piazzale Carlo Maciachini, 20159 Milano, Italia",Aosta,45.7349551,7.3130762,"11100 Aosta, Italia",13.0,184,3,3,715091499-milano-aosta,"[Milano, Aosta, Courmayeur]",manual,online
1565,1565,https://www.blablacar.it/passaggio-milano-cesena-716935264,2017-01-10,09:40:00,Milano,45.4654219,9.1859243,"Milano, MI",Cesena,44.1396438,12.2464292,"Cesena, FC",16.5,305,2,3,716935264-milano-cesena,"[Como, Milano, Cesena, Pieve Santo Stefano]",auto,online
1566,1566,https://www.blablacar.it/passaggio-milano-cesenatico-716502154,2017-01-10,09:40:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Cesenatico,44.200847,12.4052023,"Cesenatico, FC, Italia",19.5,314,3,3,716502154-milano-cesenatico,"[Milano, Cesenatico]",auto,online
1567,1567,https://www.blablacar.it/passaggio-milano-asolo-tv-718833604,2017-01-10,09:50:00,Milano,45.4721,9.205162,"Porta Venezia, Milano, MI","Asolo, TV",45.7873291,11.9117169,"Asolo, TV",16.5,260,3,3,718833604-milano-asolo-tv,[Milano],manual,online
1568,1568,https://www.blablacar.it/passaggio-milano-basilea-711606854,2017-01-10,09:50:00,Milano,45.465423584,9.18592453,"Milano, MI, Italia",Basilea,47.559597015,7.588576317,"Basilea, Svizzera",20.5,344,1,3,711606854-milano-basilea,"[Piacenza, Milano, Basilea, Bruxelles]",manual,online
1569,1569,https://www.blablacar.it/passaggio-milano-torino-718710014,2017-01-10,10:00:00,Milano,45.4430466,9.1678554,"Romolo m2, Milano, MI, Italia",Torino,45.0620791,7.6784795,"Porta Nuova, Torino, TO, Italia",8.5,171,3,3,718710014-milano-torino,"[Milano, Torino]",auto,online
1570,1570,https://www.blablacar.it/passaggio-milano-cesena-710686669,2017-01-10,10:00:00,Milano,45.4856799,9.2037979,"Milano Centrale, Milano, MI",Cesena,44.1396438,12.2464292,Cesena,17.5,305,2,3,710686669-milano-cesena,"[Milano, Cesena, Riccione]",manual,online
1571,1571,https://www.blablacar.it/passaggio-milano-modena-718314224,2017-01-10,10:00:43,Milano,45.465423584,9.18592453,"Milano, Italia",Modena,44.647129059,10.925227165,"Modena MO, Italia",7.5,179,3,3,718314224-milano-modena,"[Milano, Modena]",manual,online
1572,1572,https://www.blablacar.it/passaggio-milano-torino-708728752,2017-01-10,10:20:47,Milano,45.4654219,9.1859243,"Milano, Italia",Torino,45.070312,7.6868565,"Torino, Italia",14.0,149,3,3,708728752-milano-torino,"[Mantova, Milano, Torino]",manual,online
1573,1573,https://www.blablacar.it/passaggio-milano-serravalle-scrivia-716555279,2017-01-10,10:30:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Serravalle Scrivia,44.7232084,8.8574005,"Serravalle Scrivia, AL, Italia",6.5,96,2,2,716555279-milano-serravalle-scrivia,"[Milano, Serravalle Scrivia]",auto,online
1574,1574,https://www.blablacar.it/passaggio-milano-modena-718065634,2017-01-10,10:30:00,Milano,45.46549,9.18588,"Milano, MI",Modena,44.647128,10.9252269,"Modena, MO",9.5,179,2,3,718065634-milano-modena,"[Milano, Modena]",auto,online
